absolute_path;relative path;rating
C:\Users\natal\lab_2_python\dataset\0001.txt;dataset\0001.txt;1
C:\Users\natal\lab_2_python\dataset\0002.txt;dataset\0002.txt;1
C:\Users\natal\lab_2_python\dataset\0003.txt;dataset\0003.txt;1
C:\Users\natal\lab_2_python\dataset\0004.txt;dataset\0004.txt;1
C:\Users\natal\lab_2_python\dataset\0005.txt;dataset\0005.txt;1
C:\Users\natal\lab_2_python\dataset\0006.txt;dataset\0006.txt;1
C:\Users\natal\lab_2_python\dataset\0007.txt;dataset\0007.txt;1
C:\Users\natal\lab_2_python\dataset\0008.txt;dataset\0008.txt;1
C:\Users\natal\lab_2_python\dataset\0009.txt;dataset\0009.txt;1
C:\Users\natal\lab_2_python\dataset\0010.txt;dataset\0010.txt;1
C:\Users\natal\lab_2_python\dataset\0011.txt;dataset\0011.txt;1
C:\Users\natal\lab_2_python\dataset\0012.txt;dataset\0012.txt;1
C:\Users\natal\lab_2_python\dataset\0013.txt;dataset\0013.txt;1
C:\Users\natal\lab_2_python\dataset\0014.txt;dataset\0014.txt;1
C:\Users\natal\lab_2_python\dataset\0015.txt;dataset\0015.txt;1
C:\Users\natal\lab_2_python\dataset\0016.txt;dataset\0016.txt;1
C:\Users\natal\lab_2_python\dataset\0017.txt;dataset\0017.txt;1
C:\Users\natal\lab_2_python\dataset\0018.txt;dataset\0018.txt;1
C:\Users\natal\lab_2_python\dataset\0019.txt;dataset\0019.txt;1
C:\Users\natal\lab_2_python\dataset\0020.txt;dataset\0020.txt;1
C:\Users\natal\lab_2_python\dataset\0021.txt;dataset\0021.txt;1
C:\Users\natal\lab_2_python\dataset\0022.txt;dataset\0022.txt;1
C:\Users\natal\lab_2_python\dataset\0023.txt;dataset\0023.txt;1
C:\Users\natal\lab_2_python\dataset\0024.txt;dataset\0024.txt;1
C:\Users\natal\lab_2_python\dataset\0025.txt;dataset\0025.txt;1
C:\Users\natal\lab_2_python\dataset\0026.txt;dataset\0026.txt;1
C:\Users\natal\lab_2_python\dataset\0027.txt;dataset\0027.txt;1
C:\Users\natal\lab_2_python\dataset\0028.txt;dataset\0028.txt;1
C:\Users\natal\lab_2_python\dataset\0029.txt;dataset\0029.txt;1
C:\Users\natal\lab_2_python\dataset\0030.txt;dataset\0030.txt;1
C:\Users\natal\lab_2_python\dataset\0031.txt;dataset\0031.txt;1
C:\Users\natal\lab_2_python\dataset\0032.txt;dataset\0032.txt;1
C:\Users\natal\lab_2_python\dataset\0033.txt;dataset\0033.txt;1
C:\Users\natal\lab_2_python\dataset\0034.txt;dataset\0034.txt;1
C:\Users\natal\lab_2_python\dataset\0035.txt;dataset\0035.txt;1
C:\Users\natal\lab_2_python\dataset\0036.txt;dataset\0036.txt;1
C:\Users\natal\lab_2_python\dataset\0037.txt;dataset\0037.txt;1
C:\Users\natal\lab_2_python\dataset\0038.txt;dataset\0038.txt;1
C:\Users\natal\lab_2_python\dataset\0039.txt;dataset\0039.txt;1
C:\Users\natal\lab_2_python\dataset\0040.txt;dataset\0040.txt;1
C:\Users\natal\lab_2_python\dataset\0041.txt;dataset\0041.txt;1
C:\Users\natal\lab_2_python\dataset\0042.txt;dataset\0042.txt;1
C:\Users\natal\lab_2_python\dataset\0043.txt;dataset\0043.txt;1
C:\Users\natal\lab_2_python\dataset\0044.txt;dataset\0044.txt;1
C:\Users\natal\lab_2_python\dataset\0045.txt;dataset\0045.txt;1
C:\Users\natal\lab_2_python\dataset\0046.txt;dataset\0046.txt;1
C:\Users\natal\lab_2_python\dataset\0047.txt;dataset\0047.txt;1
C:\Users\natal\lab_2_python\dataset\0048.txt;dataset\0048.txt;1
C:\Users\natal\lab_2_python\dataset\0049.txt;dataset\0049.txt;1
C:\Users\natal\lab_2_python\dataset\0050.txt;dataset\0050.txt;1
C:\Users\natal\lab_2_python\dataset\0051.txt;dataset\0051.txt;1
C:\Users\natal\lab_2_python\dataset\0052.txt;dataset\0052.txt;1
C:\Users\natal\lab_2_python\dataset\0053.txt;dataset\0053.txt;1
C:\Users\natal\lab_2_python\dataset\0054.txt;dataset\0054.txt;1
