absolute_path,relative path,rating
C:\Users\natal\lab_2_python\dataset_copy3\06368,dataset_copy3\06368,1
C:\Users\natal\lab_2_python\dataset_copy3\05288,dataset_copy3\05288,1
C:\Users\natal\lab_2_python\dataset_copy3\04488,dataset_copy3\04488,1
C:\Users\natal\lab_2_python\dataset_copy3\00693,dataset_copy3\00693,1
C:\Users\natal\lab_2_python\dataset_copy3\07256,dataset_copy3\07256,1
C:\Users\natal\lab_2_python\dataset_copy3\08700,dataset_copy3\08700,1
C:\Users\natal\lab_2_python\dataset_copy3\05728,dataset_copy3\05728,1
C:\Users\natal\lab_2_python\dataset_copy3\03460,dataset_copy3\03460,1
C:\Users\natal\lab_2_python\dataset_copy3\07380,dataset_copy3\07380,1
C:\Users\natal\lab_2_python\dataset_copy3\04943,dataset_copy3\04943,1
C:\Users\natal\lab_2_python\dataset_copy3\05957,dataset_copy3\05957,1
C:\Users\natal\lab_2_python\dataset_copy3\09876,dataset_copy3\09876,1
C:\Users\natal\lab_2_python\dataset_copy3\04419,dataset_copy3\04419,1
C:\Users\natal\lab_2_python\dataset_copy3\04383,dataset_copy3\04383,1
C:\Users\natal\lab_2_python\dataset_copy3\06749,dataset_copy3\06749,1
C:\Users\natal\lab_2_python\dataset_copy3\03176,dataset_copy3\03176,1
C:\Users\natal\lab_2_python\dataset_copy3\06344,dataset_copy3\06344,1
C:\Users\natal\lab_2_python\dataset_copy3\04673,dataset_copy3\04673,1
C:\Users\natal\lab_2_python\dataset_copy3\02682,dataset_copy3\02682,1
C:\Users\natal\lab_2_python\dataset_copy3\06377,dataset_copy3\06377,1
C:\Users\natal\lab_2_python\dataset_copy3\03379,dataset_copy3\03379,1
C:\Users\natal\lab_2_python\dataset_copy3\08185,dataset_copy3\08185,1
C:\Users\natal\lab_2_python\dataset_copy3\01635,dataset_copy3\01635,1
C:\Users\natal\lab_2_python\dataset_copy3\05204,dataset_copy3\05204,1
C:\Users\natal\lab_2_python\dataset_copy3\08764,dataset_copy3\08764,1
C:\Users\natal\lab_2_python\dataset_copy3\09147,dataset_copy3\09147,1
C:\Users\natal\lab_2_python\dataset_copy3\06145,dataset_copy3\06145,1
C:\Users\natal\lab_2_python\dataset_copy3\06262,dataset_copy3\06262,1
C:\Users\natal\lab_2_python\dataset_copy3\00336,dataset_copy3\00336,1
C:\Users\natal\lab_2_python\dataset_copy3\02755,dataset_copy3\02755,1
C:\Users\natal\lab_2_python\dataset_copy3\08595,dataset_copy3\08595,1
C:\Users\natal\lab_2_python\dataset_copy3\02242,dataset_copy3\02242,1
C:\Users\natal\lab_2_python\dataset_copy3\00530,dataset_copy3\00530,1
C:\Users\natal\lab_2_python\dataset_copy3\02629,dataset_copy3\02629,1
C:\Users\natal\lab_2_python\dataset_copy3\07712,dataset_copy3\07712,1
C:\Users\natal\lab_2_python\dataset_copy3\07795,dataset_copy3\07795,1
C:\Users\natal\lab_2_python\dataset_copy3\01219,dataset_copy3\01219,1
C:\Users\natal\lab_2_python\dataset_copy3\05546,dataset_copy3\05546,1
C:\Users\natal\lab_2_python\dataset_copy3\08775,dataset_copy3\08775,1
C:\Users\natal\lab_2_python\dataset_copy3\05505,dataset_copy3\05505,1
C:\Users\natal\lab_2_python\dataset_copy3\06328,dataset_copy3\06328,1
C:\Users\natal\lab_2_python\dataset_copy3\03759,dataset_copy3\03759,1
C:\Users\natal\lab_2_python\dataset_copy3\03232,dataset_copy3\03232,1
C:\Users\natal\lab_2_python\dataset_copy3\00542,dataset_copy3\00542,1
C:\Users\natal\lab_2_python\dataset_copy3\08662,dataset_copy3\08662,1
C:\Users\natal\lab_2_python\dataset_copy3\08091,dataset_copy3\08091,1
C:\Users\natal\lab_2_python\dataset_copy3\05960,dataset_copy3\05960,1
C:\Users\natal\lab_2_python\dataset_copy3\04059,dataset_copy3\04059,1
C:\Users\natal\lab_2_python\dataset_copy3\02707,dataset_copy3\02707,1
C:\Users\natal\lab_2_python\dataset_copy3\09789,dataset_copy3\09789,1
C:\Users\natal\lab_2_python\dataset_copy3\04998,dataset_copy3\04998,1
C:\Users\natal\lab_2_python\dataset_copy3\08839,dataset_copy3\08839,1
C:\Users\natal\lab_2_python\dataset_copy3\08055,dataset_copy3\08055,1
